dist,lon,lat,age_ma
7.32511433,-39.41387238,24.03026133,40.83
7.359026897,-39.38047584,24.02436782,41.04
7.392939463,-39.3470793,24.01847431,41.23
7.426852029,-39.31368277,24.01258081,41.5
7.460764596,-39.28028623,24.0066873,41.68
7.494677162,-39.24688969,24.00079379,41.89
7.528589728,-39.21349315,23.99490029,42.11
7.562502295,-39.18009662,23.98900678,42.32
7.596414861,-39.14670008,23.98311327,42.59
7.630327427,-39.11330354,23.97721977,42.8
7.664239994,-39.079907,23.97132626,42.98
7.69815256,-39.04651046,23.96543275,43.16
7.732065126,-39.01311393,23.95953925,43.35
7.765977693,-38.97971739,23.95364574,43.55
7.799890259,-38.94632085,23.94775223,43.84
7.833802825,-38.91292431,23.94185873,44.04
7.867715392,-38.87952778,23.93596522,44.23
7.901627958,-38.84613124,23.93007171,44.43
7.935540524,-38.8127347,23.92417821,44.6
7.969453091,-38.77933816,23.9182847,44.78
8.003365657,-38.74594162,23.91239119,45.08
8.037278223,-38.71254509,23.90649769,45.3
8.07119079,-38.67914855,23.90060418,45.5
8.105103356,-38.64575201,23.89471067,45.73
8.139015923,-38.61235547,23.88881717,45.95
8.172928489,-38.57895894,23.88292366,46.21
8.206841055,-38.5455624,23.87703015,46.37
8.240753622,-38.51216586,23.87113665,46.53
8.274666188,-38.47876932,23.86524314,46.72
8.308578754,-38.44537278,23.85934963,46.93
8.342491321,-38.41197625,23.85345613,47.14
8.376403887,-38.37857971,23.84756262,47.5
8.410316453,-38.34518317,23.84166911,47.75
8.44422902,-38.31178663,23.83577561,47.97
8.478141586,-38.2783901,23.8298821,48.22
8.512054152,-38.24499356,23.82398859,48.47
8.545966719,-38.21159702,23.81809509,48.71
8.579879285,-38.17820048,23.81220158,49.25
8.613791851,-38.14480394,23.80630807,49.44
8.647704418,-38.11140741,23.80041457,49.51
8.681616984,-38.07801087,23.79452106,49.99
8.71552955,-38.04461433,23.78862755,50.36
8.749442117,-38.01121779,23.78273405,51.11
8.783354683,-37.97782126,23.77684054,51.49
8.817267249,-37.94442472,23.77094703,51.83
8.851179816,-37.91102818,23.76505353,52.09
8.885092382,-37.87763164,23.75916002,52.39
8.919004948,-37.8442351,23.75326651,52.68
8.952917515,-37.81083857,23.74737301,53.56
8.986830081,-37.77744203,23.7414795,53.8
9.020742647,-37.74404549,23.73558599,54.1
9.054655214,-37.71064895,23.72969249,54.32
9.08856778,-37.67725242,23.72379898,54.61
9.122480347,-37.64385588,23.71790547,54.95
9.156392913,-37.61045934,23.71201197,55.62
9.190305479,-37.5770628,23.70611846,55.84
9.224218046,-37.54366626,23.70022495,56.17
9.258130612,-37.51026973,23.69433145,56.32
9.292043178,-37.47687319,23.68843794,56.59
9.325955745,-37.44347665,23.68254443,57.08
9.359868311,-37.41008011,23.67665093,57.31
9.393780877,-37.37668358,23.67075742,57.57
9.427693444,-37.34328704,23.66486391,57.86
9.46160601,-37.3098905,23.65897041,58.07
9.495518576,-37.27649396,23.6530769,58.3
9.529431143,-37.24309742,23.64718339,58.65
9.563343709,-37.20970089,23.64128989,58.89
9.597256275,-37.17630435,23.63539638,59.12
9.631168842,-37.14290781,23.62950287,59.34
9.665081408,-37.10951127,23.62360937,59.56
9.698993974,-37.07611474,23.61771586,59.79
9.732906541,-37.0427182,23.61182235,60.08
9.766819107,-37.00932166,23.60592885,60.32
9.800731673,-36.97592512,23.60003534,60.55
9.83464424,-36.94252858,23.59414183,60.81
9.868556806,-36.90913205,23.58824833,61.08
9.902469372,-36.87573551,23.58235482,61.36
9.936381939,-36.84233897,23.57646131,61.62
9.970294505,-36.80894243,23.57056781,61.88
10.00420707,-36.7755459,23.5646743,62.13
