time,eccentricity,obliquity,perihelion,insolation,global_insolation
-19877,0.013818355,0.412927751,1.919273363,484.3402457,341.9826518
-19876,0.014250003,0.412049082,2.289326474,485.5855344,341.9847239
-19875,0.014750368,0.411039218,2.658764504,488.2696464,341.9872057
-19874,0.015198123,0.409924763,3.017564353,491.9057126,341.9894992
-19873,0.015794081,0.408730758,3.376476015,496.0301568,341.9926582
-19872,0.01637755,0.407484785,3.729608319,499.9482743,341.9958689
-19871,0.016942053,0.406219574,4.082439017,503.04286,341.9990861
-19870,0.017588606,0.404961065,4.427821325,504.7335313,342.0029049
-19869,0.018197254,0.403738164,4.772948674,504.5636686,342.0066307
-19868,0.018839401,0.402576631,5.117740393,502.3505044,342.0106991
-19867,0.019498502,0.401500601,5.457576677,498.1474551,342.0150218
-19866,0.020077383,0.400530317,5.796185043,492.1844828,342.0189411
-19865,0.020816483,0.399689587,6.133559389,485.1016581,342.024112
-19864,0.021383698,0.398997174,0.186738349,477.500609,342.0282073
-19863,0.02204041,0.398470839,0.520403938,470.2350078,342.0330865
-19862,0.02270119,0.398126161,0.851118672,464.06033,342.038145
-19861,0.023275792,0.397974814,1.182674295,459.6810014,342.0426655
-19860,0.023871785,0.398023958,1.512439594,457.5885156,342.0474738
-19859,0.024423021,0.398278903,1.837020898,458.1178889,342.0520295
-19858,0.024978908,0.39873425,2.16615891,461.3243315,342.0567291
-19857,0.025455483,0.399381621,2.489866497,466.9915452,342.0608425
-19856,0.025887693,0.400201857,2.813542797,474.6709785,342.0646404
-19855,0.026380268,0.401171672,3.136805074,483.6737358,342.0690468
-19854,0.026730573,0.402260955,3.458287275,493.1471718,342.0722312
-19853,0.027060427,0.403440468,3.778510453,502.1634284,342.0752681
-19852,0.027415458,0.404674073,4.098644118,509.8973073,342.0785785
-19851,0.027640848,0.405926115,4.416683594,515.4258994,342.0807026
-19850,0.027908843,0.407163883,4.736117797,518.3812552,342.0832509
-19849,0.028037902,0.408351999,5.05189239,518.3298995,342.0844868
-19848,0.028223113,0.409461716,5.368962646,515.5336765,342.0862705
-19847,0.028330093,0.410465047,5.687251722,510.2217737,342.0873062
-19846,0.028366106,0.411335054,6.000228621,503.2399868,342.0876557
