dist,lon,lat,depth_m
3.116722989,-43.55822698,24.76161802,-3301
3.1336617,-43.54154602,24.75867432,-3250
3.150600412,-43.52486505,24.75573062,-3273
3.167539124,-43.50818409,24.75278692,-3254
3.184477836,-43.49150312,24.74984322,-3261
3.201416548,-43.47482216,24.74689952,-3298
3.21835526,-43.45814119,24.74395582,-3363
3.235293972,-43.44146023,24.74101212,-3378
3.252232684,-43.42477926,24.73806843,-3429
3.269171396,-43.4080983,24.73512473,-3484
3.286110107,-43.39141733,24.73218103,-3543
3.303048819,-43.37473637,24.72923733,-3601
3.319987531,-43.3580554,24.72629363,-3664
3.336926243,-43.34137444,24.72334993,-3578
3.353864955,-43.32469347,24.72040623,-3656
3.370803667,-43.30801251,24.71746253,-3735
3.387742379,-43.29133154,24.71451883,-3794
3.404681091,-43.27465058,24.71157513,-3757
3.421619803,-43.25796961,24.70863143,-3711
3.438558514,-43.24128865,24.70568773,-3735
3.455497226,-43.22460768,24.70274403,-3791
3.472435938,-43.20792672,24.69980033,-3820
3.48937465,-43.19124575,24.69685663,-3847
3.506313362,-43.17456479,24.69391293,-3900
3.523252074,-43.15788382,24.69096923,-3868
3.540190786,-43.14120286,24.68802553,-3931
3.557129498,-43.12452189,24.68508183,-3965
3.57406821,-43.10784093,24.68213813,-3990
3.591006922,-43.09115996,24.67919443,-3990
3.607945633,-43.074479,24.67625073,-3976
3.624884345,-43.05779803,24.67330703,-3844
3.641823057,-43.04111707,24.67036333,-3794
3.658761769,-43.0244361,24.66741963,-3729
3.675700481,-43.00775514,24.66447593,-3667
3.692639193,-42.99107417,24.66153223,-3621
3.709577905,-42.97439321,24.65858853,-3611
3.726516617,-42.95771224,24.65564483,-3608
3.743455329,-42.94103128,24.65270113,-3700
3.76039404,-42.92435031,24.64975743,-3834
3.777332752,-42.90766935,24.64681373,-4003
3.794271464,-42.89098838,24.64387003,-4182
3.811210176,-42.87430742,24.64092633,-4316
3.828148888,-42.85762645,24.63798264,-4436
3.8450876,-42.84094549,24.63503894,-4497
3.862026312,-42.82426452,24.63209524,-4498
3.878965024,-42.80758356,24.62915154,-4440
3.895903736,-42.79090259,24.62620784,-4344
3.912842448,-42.77422163,24.62326414,-4168
3.929781159,-42.75754066,24.62032044,-4084
3.946719871,-42.7408597,24.61737674,-4041
3.963658583,-42.72417873,24.61443304,-4039
3.980597295,-42.70749777,24.61148934,-4088
3.997536007,-42.6908168,24.60854564,-4170
4.014474719,-42.67413584,24.60560194,-4283
4.031413431,-42.65745487,24.60265824,-4397
4.048352143,-42.64077391,24.59971454,-4484
4.065290855,-42.62409294,24.59677084,-4537
4.082229566,-42.60741198,24.59382714,-4549
4.099168278,-42.59073101,24.59088344,-4629
4.11610699,-42.57405005,24.58793974,-4599
4.133045702,-42.55736908,24.58499604,-4551
4.149984414,-42.54068812,24.58205234,-4495
4.166923126,-42.52400715,24.57910864,-4432
4.183861838,-42.50732619,24.57616494,-4368
4.20080055,-42.49064522,24.57322124,-4444
4.217739262,-42.47396426,24.57027754,-4376
4.234677974,-42.45728329,24.56733384,-4303
4.251616685,-42.44060233,24.56439014,-4225
4.268555397,-42.42392136,24.56144644,-4150
4.285494109,-42.4072404,24.55850274,-4082
4.302432821,-42.39055943,24.55555904,-4144
4.319371533,-42.37387847,24.55261534,-4094
4.336310245,-42.3571975,24.54967164,-4076
4.353248957,-42.34051654,24.54672794,-4082
4.370187669,-42.32383557,24.54378424,-4106
4.387126381,-42.30715461,24.54084055,-4063
4.404065092,-42.29047364,24.53789685,-4028
4.421003804,-42.27379268,24.53495315,-3974
4.437942516,-42.25711171,24.53200945,-3910
4.454881228,-42.24043075,24.52906575,-3838
4.47181994,-42.22374978,24.52612205,-3781
4.488758652,-42.20706882,24.52317835,-3764
4.505697364,-42.19038785,24.52023465,-3686
4.522636076,-42.17370689,24.51729095,-3683
4.539574788,-42.15702592,24.51434725,-3686
4.556513499,-42.14034496,24.51140355,-3718
4.573452211,-42.12366399,24.50845985,-3761
4.590390923,-42.10698303,24.50551615,-3985
4.607329635,-42.09030206,24.50257245,-4039
4.624268347,-42.0736211,24.49962875,-4099
4.641207059,-42.05694013,24.49668505,-4153
4.658145771,-42.04025917,24.49374135,-4191
4.675084483,-42.0235782,24.49079765,-4396
4.692023195,-42.00689724,24.48785395,-4435
4.708961907,-41.99021627,24.48491025,-4456
4.725900618,-41.97353531,24.48196655,-4477
4.74283933,-41.95685434,24.47902285,-4479
4.759778042,-41.94017338,24.47607915,-4499
4.776716754,-41.92349241,24.47313545,-4664
4.793655466,-41.90681145,24.47019175,-4669
4.810594178,-41.89013048,24.46724805,-4673
4.82753289,-41.87344952,24.46430435,-4675
4.844471602,-41.85676855,24.46136065,-4699
4.861410314,-41.84008759,24.45841695,-4760
4.878349025,-41.82340662,24.45547325,-4756
4.895287737,-41.80672566,24.45252955,-4670
4.912226449,-41.79004469,24.44958585,-4565
4.929165161,-41.77336373,24.44664215,-4545
4.946103873,-41.75668276,24.44369845,-4586
4.963042585,-41.7400018,24.44075476,-4814
4.979981297,-41.72332083,24.43781106,-4958
4.996920009,-41.70663987,24.43486736,-4998
5.013858721,-41.6899589,24.43192366,-4974
5.030797433,-41.67327794,24.42897996,-4912
5.047736144,-41.65659697,24.42603626,-4817
5.064674856,-41.63991601,24.42309256,-4370
5.081613568,-41.62323504,24.42014886,-4143
5.09855228,-41.60655408,24.41720516,-4183
5.115490992,-41.58987311,24.41426146,-4266
5.132429704,-41.57319215,24.41131776,-4431
5.149368416,-41.55651118,24.40837406,-4599
5.166307128,-41.53983022,24.40543036,-4557
